A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,Glashôtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos Glashôtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
23,25067,4440,280,669,1969,1335,2314,1556,2373,1604,4121,3717,1618,4159,1646,1423,684,2484,75,2088,3949,515,4028,11421,4933,2531,10970,221,392,20562,681,4349,536,5376,277,1248,70,599,960,83,263,4949,645,389,2952,919,1156,346,6939,3607,1371,279,371483,1993,10673,2544,977,818,1566,160,2523,7567,246,430,1816,885,243,4858,17,2957,30178,5597,22717,5546,8,1472,120
25,31829,8393,290,1098,2420,1344,2760,285,2397,1483,4229,3604,3752,4088,1478,1915,707,3277,81,3150,4287,810,4167,41,3868,2484,13235,257,375,17747,659,3912,387,5678,290,1479,222,660,305,89,234,4354,662,451,2536,1187,1274,368,6471,4420,1122,285,14034,1857,11018,2402,985,860,1530,99,2055,8344,337,290,2056,674,158,4646,59,3121,29549,5104,19748,6387,14,1310,435
33,46890,5337,259,682,1725,1291,3363,419,2644,1441,3752,2183,1503,4035,1535,1682,770,5003,103,3235,5304,1253,3537,94,3367,2308,7946,256,514,16996,564,3965,184,7615,260,1409,246,636,242,84,174,3969,618,549,3201,1493,1082,324,5841,5219,1569,193,15537,1865,5313,2247,911,765,1606,70,2771,5624,267,229,2135,665,115,4699,36,3315,31724,4424,20728,6973,2,1423,135
25,52183,7703,232,648,1557,1317,4355,488,2606,1187,3932,1554,958,3860,1278,1036,752,1836,84,2302,7194,1282,3648,51,3282,2364,11895,206,342,14037,455,3956,265,42210,280,1298,37,618,160,106,219,3645,517,551,1837,1693,1134,378,5190,5560,887,225,12938,1695,5165,2082,866,684,1808,57,3130,7364,272,188,2213,666,79,4388,40,3373,30800,4011,17804,6887,0,1443,90
15,58345,10050,242,329,895,1232,4569,96,3076,1127,3644,981,1066,3826,1312,1693,933,2647,71,2283,7681,1863,4088,86,3271,2030,8081,247,444,14836,802,3706,102,7724,223,1177,46,572,133,62,135,3369,554,686,3024,1640,1127,327,4950,5545,899,140,14254,1857,1508,1872,880,672,2197,50,3061,8586,233,136,2410,636,69,4633,0,3693,33163,3409,18413,5996,0,1355,76
12,35341,18,113,69,298,857,4366,48,2083,874,2255,407,472,3097,945,320,842,757,55,1559,8748,1362,1596,40,1739,1733,1182,128,317,7411,124,3648,13,5637,156,568,22,423,94,39,109,1791,310,517,904,560,854,195,3688,4421,679,26,17855,715,547,1505,528,479,1792,24,18012,289,127,98,1657,498,49,2846,0,2778,25197,2020,10616,3517,0,1013,54
19,72628,14208,315,6460,1077,2145,6831,981,4861,1973,10619,5346,4837,4891,2672,109238,1447,8692,170,4858,30860,2341,6649,199,3088,3020,37698,324,403,18942,752,4462,4161,12158,707,3397,8156,761,82098,140,596,3297,837,1641,4229,2025,2004,506,4721,7636,25229,850,19353,2248,23425,1939,6883,696,3352,55,29141,11144,866,1832,4322,899,2798,6218,5096,5234,43706,2850,19013,5455,82,2747,1097
14,29705,11988,182,329,258,1232,5540,67,3970,1095,2861,533,620,3436,1288,1440,1475,2173,113,2356,38867,1800,3683,53,2041,1799,4733,147,337,9092,458,3910,74,8203,178,950,77,491,658,26,127,2154,507,553,2478,1465,1287,284,3690,5884,771,104,32914,1576,1393,1475,841,503,1297,18,6707,6411,284,116,3252,638,74,4252,0,3334,33818,2088,13408,3279,0,1361,90
10,18416,9721,164,589,568,1301,5965,91,4620,1258,3185,623,719,3533,1360,960,1695,2227,103,2907,18147,2110,2770,60,2061,1830,11969,183,336,10182,315,4123,159,30290,180,1119,39,558,466,16,149,2016,553,484,1503,1444,1353,376,3625,5627,846,151,100715,1642,3495,1418,870,550,725,14,643564,6580,377,124,3966,664,107,4471,68,3135,34856,1753,14862,2959,0,2317,79
9,11922,7179,127,665,194,1324,5986,103,5104,1178,2675,596,627,3597,1175,1451,1756,2270,149,2584,25587,2231,3630,61,1870,1632,4053,190,360,7518,391,3479,137,7041,181,1192,56,339,218,19,189,1662,434,344,1724,968,1395,288,3298,4728,1119,288,7966,1467,3121,1340,949,433,640,6,15755,3321,423,148,4131,648,108,3994,105,3073,32026,1547,13795,2437,0,2162,116
15,6943,10954,85,600,213,1493,5246,115,5364,1263,2471,613,729,3645,1123,3610,1825,2692,161,3102,14116,5651,2823,84,1654,1236,6241,164,369,6376,262,3955,135,6943,127,1325,57,365,167,22,131,1695,470,310,1274,1380,1359,291,3017,4386,1402,124,5496,1534,2439,1241,961,486,596,10,24829,5430,458,137,4794,1237,103,3937,143,2973,30871,1259,17281,2167,0,1848,344
9,4082,17880,69,1364,181,1341,4816,144,5764,1124,2909,883,10385,3656,1122,4051,2103,4054,123,3130,15506,3462,2916,18955,1642,1066,6968,177,363,6453,285,4782,292,5809,154,1453,226,312,340,26,154,1473,538,274,1167,1754,1454,330,3021,4684,957,180,6725,1591,3896,1094,1247,454,504,8,28719,3604,623,152,5345,796,242,3785,386,3134,26840,1180,18220,2076,0,1632,379
15,1868,7798,52,430,126,1303,4600,234,5742,1324,2235,488,760,3395,854,975,2355,2381,101,3443,24436,4848,2780,13,1366,745,7480,239,351,4222,221,4578,101,5100,131,993,49,308,58,20,97,1512,402,178,1153,2485,1123,311,2499,4787,674,111,4481,1443,2838,1029,871,412,439,5,12151,3890,474,135,6100,773,105,3536,30,2371,23867,1122,21130,1865,0,2096,94
8,2253,35436,43,926,110,1389,4593,632,5863,1267,2412,738,758,3223,935,1289,3288,3155,145,2821,22249,2964,2770,39,1556,742,6781,359,367,5012,288,4309,143,4921,171,1312,93,288,1566,18,168,1517,423,167,1044,6588,1173,302,2358,5185,941,137,5473,1516,4097,949,1326,392,412,4,5600,3582,497,195,7083,674,388,3639,264,2356,20458,1216,22436,1715,1,2311,233
144,1268,73273,29,466,64,1232,3759,726,6014,1219,1989,477,651,2922,873,872,3471,3772,93,2600,13274,3990,2482,26,1521,607,3994,347,356,2288,142,5671,118,4119,175,1123,43,289,115,11,105,1998,393,110,934,3053,928,241,2021,5003,879,115,1210,1291,3147,896,851,357,307,3,2419,2666,516,135,7845,764,101,3031,119,2207,16568,1212,20628,1489,0,1452,196
4,526,4629,24,295,39,1080,2769,604,5562,809,1485,328,474,2666,641,719,2983,2106,94,2451,12074,5546,1972,12,1209,443,1679,190,357,3357,219,4526,40,4454,109,771,35,232,37,2032,95,1309,323,86,698,1382,760,254,1705,4148,485,45,3051,1096,1953,783,634,305,263,5,2422,2349,439,101,8226,690,82,2544,11,1879,13078,1227,12182,1214,0,1091,91
12,4541,22781,26,2013,53,1678,2836,884,6566,1490,3063,1972,874,2940,1191,9967,2872,5163,104,3725,12462,8202,4619,119,2705,617,17855,159,399,1762,195,4964,1639,5266,329,2085,8416,277,1759,27881,231,2538,400,258,1115,1849,914,334,1885,4783,1930,311,1523,1703,9381,904,1571,365,415,13,2403,4145,742,305,11881,918,327,3515,1563,2353,13595,1540,16635,1766,4,1652,226
7,1021,4325,13,736,14,1406,2223,554,5940,939,2051,557,511,2597,1151,1073,2854,4454,81,2692,10916,11538,2717,31,3394,515,3098,172,382,3557,203,5254,104,4870,133,1086,64,257,164,5168,111,1417,376,87,821,2160,710,291,1602,3673,606,125,2450,630740,2963,735,1008,327,339,4,2218,1851,556,89,12023,960,87,2923,383,1888,10068,1336,13638,1942,0,1505,142
9,1819,13947,11,1478,8,1420,1807,41,5817,1097,2356,953,6958,2708,1381,3428,3231,4903,85,2708,7382,3451,2265,42,3357,402,5373,231,648,1314,172,5829,246,32424,163,1365,403,245,667,49,158,2079,378,110,892,2398,814,339,1531,3600,888,470,594,1380,2324,699,1228,310,340,6,2024,2347,623,131,13772,1852,207,2723,1372,1933,8842,1514,12545,2392,0,73160,503
8,927,2219,12,412,6,1207,1589,2,5596,945,1713,450,419,2261,1356,972,3254,4890,78,2256,8507,4309,1960,20,3669,337,2264,149,523,751,119,9394,92,5225,127,957,50,252,123,24,109,1358,384,73,748,2547,927,335,1354,3832,671,65,455,1220,1521,660,935,263,305,4,1731,1051,361,94,14490,709,100,2373,146,1586,7288,1507,11123,1146,0,1360,270
11,712,11751,10,511,3,1219,1394,1,5195,939,1926,721,328,2495,1765,1080,3447,6601,93,2415,6652,1940,2418,87,3602,404,7684,98,637,1054,176,12981,129,4615,143,950,52,206,83,36,106,2588,390,58,820,2033,518,349,1395,3825,531,139,904,1271,1363,628,1080,312,289,6,1414,2732,278,85,15904,622,111,2578,175,1548,6643,1669,16942,1124,0,1484,159
7,509,422,18,634,5,1220,1353,2,4964,1165,1673,757,265,2526,2175,1134,3550,9540,65,2394,6798,2350,1973,79,3679,315,1799,95,597,9417,205,13698,61,3371,130,850,53,248,76,7,100,2599,323,69,774,1537,564,402,1150,4036,706,61,665,1332,1028,647,1022,319,234,3,1098,1420,281,63,17354,547,93,2436,41,1554,5926,1765,12966,941,0,957,97
123,7212,7928,4,5640,6,1395,1142,55,5620,629,4371,4735,3524,3218,3146,31959,8414,11464,108,3285,6039,1154,14217,129,4009,477,15382,100,630,1766,202,11341,2401,7218,308,2674,4251,202,82305,54,435,1643,403,279,892,1061,633,399,1160,4557,63863,775,595,1015,4469,603,5938,337,280,31,1150,1657,498,640,16487,513,2140,2452,20349,1532,4163,1748,5221,2215,9,879,909
7,230,60,6,106,3,1057,830,1,4563,756,1290,550,253,2121,2954,2022,4465,9385,79,2020,7473,1731,1521,30,3979,197,899,64,488,135,171,7824,36,2997,149,708,127,232,50,11,114,2380,338,68,548,880,420,334,954,4066,450,20,245,977,539,638,707,308,185,3,909,428,155,53,16550,449,76,1922,9,1292,3825,1833,12121,1644,0,889,93
5,612,1195,8,818,2,1171,725,0,4388,682,1962,583,201,2726,3764,3538,4295,10543,102,2589,4493,1063,2286,41,3665,304,2741,53,463,638,198,7096,103,2566,129,1095,32,236,171,8,104,1952,347,39,814,701,397,325,864,4628,627,160,529,1430,1209,699,1028,318,199,3,734,2864,163,49,16407,510,122,2326,183,1322,4020,1923,10007,3553,0,913,150
4,466,2865,3,357,1,958,725,0,4016,555,1552,433,170,2149,4025,3419,3553,9389,118,2364,3406,1062,2721,22,3981,214,5584,27,550,190,231,6588,72,2365,144,934,161,221,1048,4,176,2395,338,65,570,528,310,254,767,4533,508,39,232,853,729,782,933,309,166,4,631,795,104,46,14074,446,112,1787,136,1227,3096,1937,7804,202812,0,731,190
2,926,1729,5,485,2,1146,701,3,4359,635,1962,510,326,2659,5086,4494,3904,8551,130,3021,4549,1008,2275,9673,4774,259,2342,34,686,385,273,5288,107,3201,186,1444,152,285,6183,3,287,2075,382,47,750,570,282,252,862,5068,745,322,283,1255,1279,1033,1122,330,163,8,697,751,139,51,13967,456,139,2160,280,1376,3381,2394,11764,3270,0,964,273
2,1785,134394,2,1561,0,1067,512,3,3901,531,2103,1050,17935,2779,5378,4629,3455,6249,143,2848,3571,919,6927,64,2972,226,3676,26,853,570,235,4537,231,2922,175,1498,284,232,11888,41,404,2176,405,68,622,568,338,237,886,5295,1678,195,263,1011,1563,1339,1403,355,178,10,568,1092,176,65,11891,456,957,1951,4424,1332,2640,2770,8196,1457,0,707,231
3,766,1149,3,649,1,983,504,2,4052,456,1665,519,237,3145,5416,6627,3695,5677,229,3175,3066,816,2512,12,2531,262,1674,34,1129,274,309,3826,88,3020,146,1662,49,251,5467,7,351,2287,366,72,601,524,194,221,686,5046,724,157,353,1088,1641,1394,1133,548,132,2,609,558,114,72,10692,388,103,1968,2870,1330,2814,3243,10438,1311,0,1501,261
1,474,1265,2,330,0,897,457,3,3653,368,1546,447,164,4229,5958,5378,3641,3303,119,3268,2198,706,1656,20,2008,225,1773,26,891,234,408,3520,87,2474,158,1601,42,241,252,21,255,1320,346,32,592,596,148,202,695,4296,564,68,199,1088,860,1476,1005,532,127,2,583,321,80,42,9363,446,131,1821,411,1296,2593,5052,5645,1004,0,765,179
3,101,107,1,80,0,837,336,1,3193,252,863,278,98,2520,6338,2876,3225,1719,150,2780,1350,607,1073,12,1841,129,1039,20,756,54,297,3172,25,2134,130,922,38,225,149,2,246,970,321,44,335,287,105,115,578,3844,556,7,145,900,307,1184,753,677,124,0,487,185,106,52,7121,407,116,1343,36,1145,1928,6754,4743,1018,0,744,70
0,4179,2114,3,2311,0,1164,454,3,4366,435,2900,2001,526,4125,7658,9376,4068,2919,171,4354,945,685,8881,12,3659,237,13998,36,689,512,463,2972,1652,2971,339,2842,7436,328,41812,16,392,2421,340,145,655,999,172,177,690,4381,1378,497,346,1945,3990,1207,1927,660,176,16,574,584,223,186,8066,419,348,2077,6025,1389,2292,10489,2779,1428,1,1008,457
2,560,1142,1,420,0,868,343,2,3555,244,1505,629,153,7705,4172,3671,3854,1758,186,3723,676,489,2819,21,3561,210,1980,31,636,186,444,3298,103,2128,171,1796,62,300,3541,3,219,1212,348,41,598,469,115,152,528,3332,650,149,238,1420,891,1085,1157,325,107,4,465,200,77,34,6689,404,139,1589,933,1318,2220,9565,2954,1272,0,3355,209
0,687,732,3,403,0,862,349,4,3458,208,1307,397,295,8989,9849,3530,3334,1316,193,3320,1328,426,5590,27,2892,176,1107,20,626,124,300,2590,89,1945,208,1735,156,224,5003,2,203,1930,372,31,465,318,76,137,593,2908,626,94,187,1243,959,1016,1195,293,121,2,492,82,77,32,5477,387,150,1411,1464,1198,1991,8125,1557,1086,0,1105,221
0,356,415,5,491,0,918,336,4,3280,179,1248,475,216,12028,6723,5316,3810,1250,255,4214,723,366,2148,15,2664,188,1497,15,628,106,315,1923,101,1855,192,1982,41,321,798,1,227,1490,427,39,582,293,51,166,569,2917,703,48,244,1205,828,942,1369,298,107,1,455,101,148,47,5137,358,196,1426,1026,1247,1892,5702,3006,1332,0,835,269
3,83,26,0,83,0,740,144,11,2361,128,670,217,399,11887,9707,3446,2915,608,260,3093,289,277,1303,13426,1909,115,463,13,595,54,183,2220,32,1608,131,946,47,219,265,3,199,1420,398,39,362,292,32,122,447,2646,635,13,131,555,211,787,908,220,65,2,342,82,50,35,3506,333,241,1135,1055,1067,1557,4148,1187,1093,0,795,80
0,1946,942,0,696,0,1122,121522,5,3156,164,2068,3106,455,4642,9453,7207,4152,1307,344,4826,416,289,6959,12,1901,231,2552,21,791,130,252,3229,161,2145,196,3045,117,366,14627,5,316,2585,458,46,985,758,138,175,627,3016,1490,113,300,1328,1519,775,2346,384,109,11,494,732,133,91,4630,453,497,1504,12984,1399,2119,3050,3630,1270,0,1233,264
1,435,888,0,361,0,882,5321,3,2223,172,1111,662,510,7192,8635,3943,3617,848,304,4964,351,266,4391,15,1035,133,4159,14,681,77,189,2139,98,1791,182,1496,69,314,466,4,375,1874,431,47,798,734,30,176,522,2760,819,48,161,1256,759,579,1342,405,155,2,417,155,76,65,3431,1053,232,1173,1422,1239,1427,1906,876,655,0,895,219
1,193,528,2,155,0,849,172,8,1941,156,893,353,495,1545,7101,4048,3642,638,302,4947,1074,210,1454,17,402,129,753,16,572,69,137,4436,63,1932,182,1382,44,317,491,2,432,2316,447,38,1008,488,22,128,576,2723,811,16,198,1256,260,559,1301,432,311,4,369,157,106,62,2965,6980,152,1023,518,1361,1763,1721,3105,398,0,909,89
0,1735,1216,0,1498,0,1057,171,5,1791,137,1802,1440,8853,1908,10747,3180,3764,1217,239,6240,311,158,3877,10,568,153,2633,16,542,198,120,3006,369,2405,172,2668,416,320,8362,22,440,1434,436,39,1119,459,113,124,724,2418,1440,251,309,1331,1479,524,1737,781,250,11,342,65,187,64,2723,4815,219,1016,8680,1407,1060,982,681,358,0,1859,197
0,277,462,1,312,0,932,259,1,1308,127,1021,597,798,1326,8706,3502,3919,591,259,6440,1042,134,4112,8,376,129,1007,25,483,76,125,2475,115,2150,121,1495,11004,324,247,3,325,1529,474,35,1508,341,20,112,561,2246,836,36,163,1624,640,458,1463,503,196,3,363,102,68,83,2305,5669,103,915,1153,1581,1678,711,2368,307,0,9674,200
122,959,745,0,471,0,1126,186,0,1340,238,1352,1662,559,1377,7561,2860,4129,761,229,8213,651,107,2049,8,479,108,2070,17,516,128,134,2276,491,4161,124,3278,22,358,810,5,332,2157,589,43,1809,307,26,131,646,2169,1085,105,265,1594,541,397,2066,536,189,12,381,132,148,121,2210,3749,131,3870,5962,2192,1107,552,1528,303,0,2068,221
2,200,36,0,251,0,952,128,3,1122,532,901,504,539,1333,9443,1492,4273,469,231,10797,401,112,2787,14,305,125,881,10,436,38,113,1923,94,2123,117,1138,0,378,400,0,263,1326,600,30,2573,257,6,130,642,1938,920,29,156,447,395,392,1425,526,330,3,329,68,52,17,2031,33220,105,819,1069,2685,1721,403,889,254,0,903,163
1,736,359,2,420,0,1019,182,7,997,355,891,464,238,1401,8061,1303,4523,445,218,11507,228,102,8348,13,379,97,966,9,380,132,102,2351,100,2266,118,1067,15,328,580,6,271,858,579,51,2532,245,10,103,675,1381,1150,55,214,1314,870,306,1395,395,165,5,301,29,80,10,1814,3756,98,637,2259,1920,1866,281,1045,238,0,1581,147
1,560,162,1,542,0,1130,1091,1,1321,3170,1280,802,199,1752,11512,2629,4800,738,194,15350,340,100,4460,17,368,123,1122,18,403,51,82,2384,184,2080,117,1246,6,392,111,29,215,914,659,45,3335,255,9,125,687,1158,816,50,891,1582,1353,345,1685,585,66,3,278,70,134,8,1953,7491,111,721,4048,1783,2919,372,785,255,0,832,243
0,56,1,0,174,0,1065,11063,4,767,549,508,310,181,6269,14825,477,4569,249,218,16169,320,91,2353,78109,216,77,994,17,454,30,78,2365,81,1802,80,691,0,413,40,6462,180,438,632,37,2974,248,8,92,768,377,706,6,103,1210,155,273,1331,403,53,0,216,68,51,4,1568,971,100,516,709,1665,1418,229,1638,209,0,947,110
0,615,1075,0,410,0,1224,4352,6,1152,418,1519,1835,185,1622,4520,1317,5662,595,167,19762,1087,84,5346,0,363,112,3863,17,370,38,136,2944,191,1711,107,1168,10,357,250,75262,190,743,764,5867,3354,214,5,133,599,348,841,65,142,388,828,271,2109,866,61,9,237,38,98,2,2431,860,142,689,3816,1660,1731,268,1563,250,0,1060,345
0,225,115,1,263,0,1291,13429,8,1060,378,767,701,147,2862,14630,1169,4677,330,259,20062,276,56,2786,1,174,95,1106,11,405,45,55,1950,152,1368,78,788,5,410,57,12918,156,301,857,34,2401,238,2,100,609,126,751,31,102,1077,583,266,1787,1124,896,3,226,70,73,2,2638,1156,111,510,2332,1645,1102,176,35,200,0,1116,156
0,248,293,0,275,0,1592,1520,7,1004,371,952,1133,98,1667,4134,700,4856,485,167,21731,606,71,5183,0,152,97,1286,17,413,35,94,2397,161,1216,65,1151,1,409,48,9431,152,285,1006,42,1450,178,4,93,663,221,787,26,129,1371,468,250,2242,1234,52,0,169,42,95,4,3193,1307,128,506,2692,1814,1292,191,1069,186,0,1252,153
0,162,272,0,339,0,1692,13810,9,1078,306,719,1106,70,1456,11605,422,4334,448,147,23757,1126,61,4416,1,141,88,1254,14,403,33,64,1958,176,1139,60,735,0,364,49,18,132,253,1698,23,1375,163,2,94,624,81,706,26,102,670,298,244,1975,907,60,5,193,47,111,1,2720,1133,139,458,2264,1962,1876,217,2542,188,0,798,114
0,103,63,0,262,0,2109,598,16,1006,275,617,3684,56,1872,5009,505,4148,381,149,24029,405,45,5416,0,82,63,1348,16,476,20,62,2817,156,931,48,664,1,373,22,3,163,372,3968,39,521,146,1,115,572,176,546,15,72,765,219,243,1885,1152,60,4,175,38,96,1,1864,667,142,403,1769,8767,1468,278,0,205,0,19478,119
0,74,7,0,282,0,2739,14863,10,896,279,706,1807,50,1503,8570,653,4293,352,116,25978,3034,65,5322,1,70,94,1472,16,526,15,73,4077,164,1187,39,930,0,372,1316,3,145,372,2989,42,1304,204,5,102,472,1959,810,19,82,1265,178,227,2355,2379,55,2,163,18,107,0,1379,585,192,393,1266,2801,1987,274,0,189,0,1310,81
0,28,4,0,265,0,3339,898,12,1570,334,426,1661,66,1404,1660,477,5020,226,101,26679,78,47,4158,0,36,59,1726,14,1866,18,59,3786,144,1113,47,630,1,380,118,2,141,108,1220,53,374,120,72,105,339,247,842,17,53,1533,107,216,2367,1902,64,2,157,34,70,0,957,719,181,416,1558,3107,1270,407,1198,213,0,1327,43
0,1,2,0,284,0,4209,15707,9842,271,216,240,1499,33,1881,9052,332,6355,52,81,27061,4349,40,5477,0,25,45,2060,22,741,7,63,5838,138,1125,27,625,0,348,2,0,202,17,1976,40,118,120,0,71,400,227,876,3,30,90,73,236,2327,3472,43,2,173,29,153,0,561,2276,241,351,570,3670,5263,817,0,257,0,907,31
0,1,0,0,362,0,5249,35,232,42,457,32,1364,22,1115,233,357,8684,30,50,38254,64,41,2544,4,11,23,2839,3,1272,8,132,7380,137,1450,19,409,0,381,8,0,248,6,1706,101,4,26,74,70,410,3,1067,0,2,1977,72,217,1216,41617,21,3,62,4,150,1,286,1411,224,164,110,3929,206,1709,0,296,0,837,25
0,0,0,0,499,0,5160,0,281,10,289,0,11,4,411,41,881,4772,0,46,47197,0,24,610,0,1,2,2079,0,1732,0,63,3883,72,1011,1,125,0,16,2,0,94,1,1713,107,1,0,0,9,1,1,780,0,0,0,3,23,671,9,6,0,25,13,167,0,53,4261,172,7,0,3029,278,154,0,108,0,592,6
267,28663,4587,0,27127,0,25723,68315,13443,26225,2382,175368,269484,270748,16495,11369,56887,38253,20829,2316,168089,353593,936,36411,5,1912,2257,69211,166,3577,489,1182,52478,20780,61055,2630,8053,36447,2380,231079,683,4614,1171,33321,260,1458,11137,135,1662,1302,429,8564,29846,864,7625,30173,1759,33363,108941,779,3659,7893,381,380421,5056,2421,5884,5027,3161,134831,18410,9732,7811,392,5279,36,38290,5229